"g9-001","亜","ア",
"g9-002","尉","イ",
"g9-003","逸","イツ",
"g9-004","姻","イン",
"g9-005","韻","イン",
"g9-006","畝","ウネ",
"g9-007","浦","ウラ",
"g9-008","疫","エキ",
"g9-009","謁","エツ",
"g9-010","猿","エン","さる"
"g9-011","凹","オウ",
"g9-012","翁","オウ",
"g9-013","虞",,"おそれ"
"g9-014","渦","カ","うず"
"g9-015","禍","カ",
"g9-016","靴","カ","くつ"
"g9-017","寡","カ",
"g9-018","稼","カ","かせ"
"g9-019","蚊",,"か"
"g9-020","拐","カイ",
"g9-021","懐","カイ","ふところ"
"g9-022","該","ガイ",
"g9-023","涯","ガイ",
"g9-024","垣",,"かき"
"g9-025","核","カク",
"g9-026","殻","カク","から"
"g9-027","嚇","カク",
"g9-028","括","カツ",
"g9-029","喝","カツ",
"g9-030","渇","カツ","かわ"
"g9-031","褐","カツ",
"g9-032","轄","カツ",
"g9-033","且",,"か"
"g9-034","缶","カン",
"g9-035","陥","カン","おちい"
"g9-036","患","カン","わずら"
"g9-037","堪","カン","た"
"g9-038","棺","カン",
"g9-039","款","カン",
"g9-040","閑","カン",
"g9-041","寛","カン",
"g9-042","憾","カン",
"g9-043","還","カン",
"g9-044","艦","カン",
"g9-045","頑","ガン",
"g9-046","飢","キ","う"
"g9-047","宜","ギ",
"g9-048","偽","ギ","いつわ"
"g9-049","擬","ギ",
"g9-050","糾","キュウ",
"g9-051","窮","キュウ","きわ"
"g9-052","拒","キョ","こば"
"g9-053","享","キョウ",
"g9-054","挟","キョウ","はさ"
"g9-055","恭","キョウ","うやうや"
"g9-056","矯","キョウ","た"
"g9-057","暁","ギョウ","あかつき"
"g9-058","菌","キン",
"g9-059","琴","キン","こと"
"g9-060","謹","キン","つつし"
"g9-061","襟","キン","えり"
"g9-062","吟","ギン",
"g9-063","隅","グウ","すみ"
"g9-064","勲","クン",
"g9-065","薫","クン","かお"
"g9-066","茎","ケイ","くき"
"g9-067","渓","ケイ",
"g9-068","蛍","ケイ","ほたる"
"g9-069","慶","ケイ",
"g9-070","傑","ケツ",
"g9-071","嫌","ケン","きら"
"g9-072","献","ケン",
"g9-073","謙","ケン",
"g9-074","繭","ケン","まゆ"
"g9-075","顕","ケン",
"g9-076","懸","ケン","か"
"g9-077","弦","ゲン","つる"
"g9-078","呉","ゴ",
"g9-079","碁","ゴ",
"g9-080","江","コウ","え"
"g9-081","肯","コウ",
"g9-082","候","コウ",
"g9-083","洪","コウ",
"g9-084","貢","コウ","みつ"
"g9-085","溝","コウ","みぞ"
"g9-086","衡","コウ",
"g9-087","購","コウ",
"g9-088","拷","ゴウ",
"g9-089","剛","ゴウ",
"g9-090","酷","コク",
"g9-091","昆","コン",
"g9-092","懇","コン","ねんご"
"g9-093","唆","サ","そそのか"
"g9-094","詐","サ",
"g9-095","砕","サイ","くだ"
"g9-096","宰","サイ",
"g9-097","裁","サイ",
"g9-098","斎","サイ",
"g9-099","索","サク",
"g9-100","酢","サク","す"
"g9-101","桟","サン",
"g9-102","傘","サン","かさ"
"g9-103","肢","シ",
"g9-104","嗣","シ",
"g9-105","賜","シ","たまわ"
"g9-106","璽","ジ",
"g9-107","漆","シツ","うるし"
"g9-108","遮","シャ","さえぎ"
"g9-109","蛇","ジャ","へび"
"g9-110","酌","シャク","く"
"g9-111","爵","シャク",
"g9-112","珠","シュ",
"g9-113","儒","ジュ",
"g9-114","囚","シュウ",
"g9-115","臭","シュウ","くさ"
"g9-116","愁","シュウ","うれ"
"g9-117","酬","シュウ",
"g9-118","醜","シュウ","みにく"
"g9-119","汁","ジュウ","しる"
"g9-120","充","ジュウ","あ"
"g9-121","渋","ジュウ","しぶ"
"g9-122","銃","ジュウ",
"g9-123","叔","シュク",
"g9-124","淑","シュク",
"g9-125","粛","シュク",
"g9-126","塾","ジュク",
"g9-127","俊","シュン",
"g9-128","准","ジュン",
"g9-129","殉","ジュン",
"g9-130","循","ジュン",
"g9-131","庶","ショ",
"g9-132","緒","ショ","お"
"g9-133","叙","ジョ",
"g9-134","升","ショウ","ます"
"g9-135","抄","ショウ",
"g9-136","肖","ショウ",
"g9-137","尚","ショウ",
"g9-138","宵","ショウ","よい"
"g9-139","症","ショウ",
"g9-140","祥","ショウ",
"g9-141","渉","ショウ",
"g9-142","訟","ショウ",
"g9-143","硝","ショウ",
"g9-144","粧","ショウ",
"g9-145","詔","ショウ","みことのり"
"g9-146","奨","ショウ",
"g9-147","彰","ショウ",
"g9-148","償","ショウ","つぐな"
"g9-149","礁","ショウ",
"g9-150","浄","ジョウ",
"g9-151","剰","ジョウ",
"g9-152","壌","ジョウ",
"g9-153","醸","ジョウ","かも"
"g9-154","津","シン","つ"
"g9-155","唇","シン","くちびる"
"g9-156","妊","シン",
"g9-157","紳","シン",
"g9-158","診","シン","み"
"g9-159","刃","ジン","は"
"g9-160","迅","ジン",
"g9-161","甚","ジン","はなは"
"g9-162","帥","スイ",
"g9-163","睡","スイ",
"g9-164","枢","スウ",
"g9-165","崇","スウ",
"g9-166","据",,"す"
"g9-167","杉",,"すぎ"
"g9-168","斉","セイ",
"g9-169","逝","セイ","ゆ"
"g9-170","誓","セイ","ちか"
"g9-171","析","セキ",
"g9-172","拙","セツ","つたな"
"g9-173","窃","セッ",
"g9-174","仙","セン",
"g9-175","栓","セン",
"g9-176","旋","セン",
"g9-177","践","セン",
"g9-178","遷","セン",
"g9-179","薦","セン","すす"
"g9-180","繊","セン",
"g9-181","禅","ゼン",
"g9-182","漸","ゼン",
"g9-183","租","ソ",
"g9-184","疎","ソ","うと"
"g9-185","塑","ソ",
"g9-186","壮","ソウ",
"g9-187","荘","ソウ",
"g9-188","捜","ソウ","さが"
"g9-189","挿","ソウ","さ"
"g9-190","曹","ソウ",
"g9-191","喪","ソウ","も"
"g9-192","槽","ソウ",
"g9-193","霜","ソウ","しも"
"g9-194","藻","ソウ","も"
"g9-195","妥","ダ",
"g9-196","堕","ダ",
"g9-197","惰","ダ",
"g9-198","駄","ダ",
"g9-199","泰","タイ",
"g9-200","濯","タク",
"g9-201","但",,"ただ"
"g9-202","棚",,"たな"
"g9-203","痴","チ",
"g9-204","逐","チク",
"g9-205","秩","チツ",
"g9-206","嫡","チャク",
"g9-207","衷","チュウ",
"g9-208","弔","チョウ","とむら"
"g9-209","挑","チョウ","いど"
"g9-210","眺","チョウ","なが"
"g9-211","釣","チョウ","つ"
"g9-212","懲","チョウ","こ"
"g9-213","勅","チョク",
"g9-214","朕","チン",
"g9-215","塚",,"つか"
"g9-216","漬",,"つ"
"g9-217","坪",,"つぼ"
"g9-218","呈","テイ",
"g9-219","廷","テイ",
"g9-220","邸","テイ",
"g9-221","亭","テイ",
"g9-222","貞","テイ",
"g9-223","逓","テイ",
"g9-224","偵","テイ",
"g9-225","艇","テイ",
"g9-226","泥","デイ","どろ"
"g9-227","迭","テツ",
"g9-228","徹","テツ",
"g9-229","撤","テツ",
"g9-230","悼","トウ","いた"
"g9-231","塔","トウ",
"g9-232","棟","トウ","むね"
"g9-233","筒","トウ","つつ"
"g9-234","謄","トウ",
"g9-235","騰","トウ",
"g9-236","洞","ドウ","ほら"
"g9-237","督","トク",
"g9-238","凸","トツ",
"g9-239","屯","トン",
"g9-240","軟","ナン","やわ"
"g9-241","尼","ニ","あま"
"g9-242","妊","ニン",
"g9-243","忍","ニン","しの"
"g9-244","寧","ネイ",
"g9-245","把","ハ",
"g9-246","覇","ハ",
"g9-247","廃","ハイ","すた"
"g9-248","培","バイ","つちか"
"g9-249","媒","バイ",
"g9-250","賠","バイ",
"g9-251","伯","ハク",
"g9-252","舶","ハク",
"g9-253","漠","バク",
"g9-254","肌",,"はだ"
"g9-255","鉢","ハチ",
"g9-256","閥","バツ",
"g9-257","煩","ハン","わずら"
"g9-258","頒","ハン",
"g9-259","妃","ヒ",
"g9-260","披","ヒ",
"g9-261","扉","ヒ","とびら"
"g9-262","罷","ヒ",
"g9-263","猫","ビョウ","ねこ"
"g9-264","賓","ヒン",
"g9-265","頻","ヒン",
"g9-266","瓶","ビン",
"g9-267","扶","フ",
"g9-268","附","フ",
"g9-269","譜","フ",
"g9-270","侮","ブ","あなど"
"g9-271","沸","フツ","わ"
"g9-272","雰","フン",
"g9-273","憤","フン","いきどお"
"g9-274","丙","ヘイ",
"g9-275","併","ヘイ","あわ"
"g9-276","塀","ヘイ",
"g9-277","幣","ヘイ",
"g9-278","弊","ヘイ",
"g9-279","偏","ヘン","かたよ"
"g9-280","偏","ヘン",
"g9-281","泡","ホウ","あわ"
"g9-282","俸","ホウ",
"g9-283","褒","ホウ","ほ"
"g9-284","剖","ボウ",
"g9-285","紡","ボウ","つむ"
"g9-286","朴","ボク",
"g9-287","僕","ボク",
"g9-288","撲","ボク",
"g9-289","堀",,"ほり"
"g9-290","奔","ホン",
"g9-291","麻","マ","あさ"
"g9-292","摩","マ",
"g9-293","磨","マ","みが"
"g9-294","抹","マツ",
"g9-295","岬",,"みさき"
"g9-296","銘","メイ",
"g9-297","妄","モウ",
"g9-298","盲","モウ",
"g9-299","耗","モウ",
"g9-300","厄","ヤク",
"g9-301","愉","ユ",
"g9-302","諭","ユ","さと"
"g9-303","癒","ユ","い"
"g9-304","唯","ユイ",
"g9-305","悠","ユウ",
"g9-306","猶","ユウ",
"g9-307","裕","ユウ",
"g9-308","融","ユウ",
"g9-309","庸","ヨウ",
"g9-310","窯","ヨウ","かま"
"g9-311","羅","ラ",
"g9-312","酪","ラク",
"g9-313","痢","リ",
"g9-314","履","リ","は"
"g9-315","柳","リュウ","やなぎ"
"g9-316","竜","リュウ","たつ"
"g9-317","硫","リュウ",
"g9-318","慮","リョ",
"g9-319","涼","リョウ","すず"
"g9-320","僚","リョウ",
"g9-321","寮","リョウ",
"g9-322","倫","リン",
"g9-323","累","ルイ",
"g9-324","塁","ルイ",
"g9-325","戻","レイ","もど"
"g9-326","鈴","レイ","すず"
"g9-327","賄","ワイ","まかな"
"g9-328","枠",,"わく"
